"Country or Area","Year","Value"
"Cyprus","2019","8849.59922702434"
"Cyprus","2018","8819.21684253717"
"Cyprus","2017","8977.18400676042"
"Cyprus","2016","8790.7137552013"
"Cyprus","2015","8343.35418378675"
"Cyprus","2014","8299.8519070199"
"Cyprus","2013","7924.79383515136"
"Cyprus","2012","8624.39386971571"
"Cyprus","2011","9157.22694641413"
"Cyprus","2010","9455.22605373977"
"Cyprus","2009","9782.782945231"
"Cyprus","2008","10017.1021404573"
"Cyprus","2007","9802.29082963436"
"Cyprus","2006","9472.9160907313"
"Cyprus","2005","9216.96925185235"
"Cyprus","2004","9089.952596933"
"Cyprus","2003","8888.32678058913"
"Cyprus","2002","8493.87695762502"
"Cyprus","2001","8263.67057459265"
"Cyprus","2000","8315.36774214261"
"Cyprus","1999","8041.48118459499"
"Cyprus","1998","7770.35286123885"
"Cyprus","1997","7436.64029012343"
"Cyprus","1996","7341.55356148895"
"Cyprus","1995","6991.50800945537"
"Cyprus","1994","7055.68343444519"
"Cyprus","1993","6805.02749073106"
"Cyprus","1992","6527.9153744615"
"Cyprus","1991","6078.23893690819"
"Cyprus","1990","5577.47627327695"
"Czechia","2019","123297.562216838"
"Czechia","2018","129251.240798697"
"Czechia","2017","131181.779042625"
"Czechia","2016","130348.314145413"
"Czechia","2015","128771.063157209"
"Czechia","2014","127389.902168548"
"Czechia","2013","129519.066428676"
"Czechia","2012","135064.414320366"
"Czechia","2011","139036.894510335"
"Czechia","2010","140593.086903395"
"Czechia","2009","137831.161708694"
"Czechia","2008","146954.166819974"
"Czechia","2007","151870.140239093"
"Czechia","2006","150095.24988449"
"Czechia","2005","148824.808942614"
"Czechia","2004","150812.973474938"
"Czechia","2003","149825.068400501"
"Czechia","2002","146761.646778589"
"Czechia","2001","150446.342213101"
"Czechia","2000","150462.909358347"
"Czechia","1999","140283.080028916"
"Czechia","1998","149946.541312411"
"Czechia","1997","156152.974627329"
"Czechia","1996","160764.045137795"
"Czechia","1995","157779.535383022"
"Czechia","1994","158696.025483462"
"Czechia","1993","166270.916179179"
"Czechia","1992","173928.374334872"
"Czechia","1991","180517.335397214"
"Czechia","1990","198949.268942381"
"Denmark","2019","46082.1766994199"
"Denmark","2018","49905.1408965612"
"Denmark","2017","49946.5005937267"
"Denmark","2016","52068.8975084884"
"Denmark","2015","50054.6764241674"
"Denmark","2014","52663.2980834757"
"Denmark","2013","56923.4973534833"
"Denmark","2012","55224.976475578"
"Denmark","2011","59857.4244338755"
"Denmark","2010","65160.2797696612"
"Denmark","2009","64843.9288733924"
"Denmark","2008","67712.8898761238"
"Denmark","2007","71334.6366535454"
"Denmark","2006","75949.4088433039"
"Denmark","2005","68289.4268179444"
"Denmark","2004","72704.8003319466"
"Denmark","2003","78709.5654356039"
"Denmark","2002","73662.6399228154"
"Denmark","2001","74289.1265755782"
"Denmark","2000","72592.7751469103"
"Denmark","1999","76945.1017755487"
"Denmark","1998","79493.0009684661"
"Denmark","1997","83554.2457404328"
"Denmark","1996","93071.1072156869"
"Denmark","1995","79910.6215927025"
"Denmark","1994","82878.7035403045"
"Denmark","1993","79011.7405566226"
"Denmark","1992","76895.581658065"
"Denmark","1991","82915.9231831608"
"Denmark","1990","72234.335681961"
"European Union","2019","4059228.34299095"
"European Union","2018","4224781.87534366"
"European Union","2017","4319415.32370787"
"European Union","2016","4304559.32620067"
"European Union","2015","4326884.11769298"
"European Union","2014","4295574.1439013"
"European Union","2013","4473170.50526018"
"European Union","2012","4570628.08547199"
"European Union","2011","4628942.41367664"
"European Union","2010","4781899.2555891"
"European Union","2009","4677321.96753873"
"European Union","2008","5049395.27428364"
"European Union","2007","5167378.64675971"
"European Union","2006","5218200.61192405"
"European Union","2005","5229117.82235556"
"European Union","2004","5264657.13240148"
"European Union","2003","5263447.14702448"
"European Union","2002","5174889.7245052"
"European Union","2001","5208933.70996244"
"European Union","2000","5158554.59890324"
"European Union","1999","5169212.27849104"
"European Union","1998","5275274.4766086"
"European Union","1997","5315781.31250629"
"European Union","1996","5412384.75701286"
"European Union","1995","5298491.75831354"
"European Union","1994","5253548.8497371"
"European Union","1993","5289286.19368677"
"European Union","1992","5389720.47156101"
"European Union","1991","5558689.99299931"
"European Union","1990","5662307.21973939"
"Finland","2019","53072.4597564129"
"Finland","2018","56334.2568975785"
"Finland","2017","55282.3524996774"
"Finland","2016","58061.2073659411"
"Finland","2015","55141.3148165097"
"Finland","2014","58715.0167287158"
"Finland","2013","62856.3996693453"
"Finland","2012","62463.9777535537"
"Finland","2011","67942.2857070433"
"Finland","2010","75690.8355584126"
"Finland","2009","67897.5533104313"
"Finland","2008","71544.3184133163"
"Finland","2007","79662.3232124566"
"Finland","2006","81316.4610276562"
"Finland","2005","69938.8502274631"
"Finland","2004","81948.8351902061"
"Finland","2003","85635.4529812323"
"Finland","2002","78014.870989789"
"Finland","2001","75597.3449876789"
"Finland","2000","70270.3280039426"
"Finland","1999","72149.2988455656"
"Finland","1998","72770.6963923291"
"Finland","1997","76471.1012274546"
"Finland","1996","77774.4042773845"
"Finland","1995","71795.9317278631"
"Finland","1994","75473.1007014323"
"Finland","1993","69944.837533878"
"Finland","1992","67686.3116268915"
"Finland","1991","69132.0404480502"
"Finland","1990","71240.8232978257"
"Japan","2019","1211551.73940501"
"Japan","2018","1247127.23398049"
"Japan","2017","1290670.59103586"
"Japan","2016","1304025.89323146"
"Japan","2015","1320727.52893293"
"Japan","2014","1358817.9748375"
"Japan","2013","1408191.22949265"
"Japan","2012","1396339.58479336"
"Japan","2011","1353625.07332469"
"Japan","2010","1302913.64717081"
"Japan","2009","1249634.16902852"
"Japan","2008","1322007.95887811"
"Japan","2007","1394913.9787801"
"Japan","2006","1359795.69431731"
"Japan","2005","1381164.93445669"
"Japan","2004","1373557.1396179"
"Japan","2003","1382219.49700884"
"Japan","2002","1375622.82107481"
"Japan","2001","1351957.94616723"
"Japan","2000","1378053.04190631"
"Japan","1999","1358188.36825547"
"Japan","1998","1334775.48899052"
"Japan","1997","1383553.7183012"
"Japan","1996","1390997.66575558"
"Japan","1995","1378513.64120976"
"Japan","1994","1357039.25158244"
"Japan","1993","1296164.39929932"
"Japan","1992","1300712.84549575"
"Japan","1991","1288728.5811369"
"Japan","1990","1274551.29928471"
"Latvia","2019","11144.8097096396"
"Latvia","2018","11272.5207107299"
"Latvia","2017","10776.2616635891"
"Latvia","2016","10734.3071662312"
"Latvia","2015","10741.9065253969"
"Latvia","2014","10691.5994420788"
"Latvia","2013","10778.9199758208"
"Latvia","2012","10863.9806467767"
"Latvia","2011","11040.8126735217"
"Latvia","2010","11836.387983321"
"Latvia","2009","10747.8432785057"
"Latvia","2008","11434.2173284233"
"Latvia","2007","11881.5545706888"
"Latvia","2006","11431.4846285295"
"Latvia","2005","10955.7252400751"
"Latvia","2004","10779.1681469022"
"Latvia","2003","10811.6811407127"
"Latvia","2002","10641.9580478357"
"Latvia","2001","10670.4939543741"
"Latvia","2000","10084.1480279802"
"Latvia","1999","10700.7321074652"
"Latvia","1998","11477.9050777546"
"Latvia","1997","11977.802910626"
"Latvia","1996","12533.3211510772"
"Latvia","1995","12479.9556351773"
"Latvia","1994","13864.3519748186"
"Latvia","1993","15816.6015858839"
"Latvia","1992","19235.7765778339"
"Latvia","1991","24010.5862138391"
"Latvia","1990","25908.6862026515"
"Netherlands","2019","180872.423328435"
"Netherlands","2018","186834.873989526"
"Netherlands","2017","191020.515547456"
"Netherlands","2016","193551.746426319"
"Netherlands","2015","193164.45011203"
"Netherlands","2014","186046.625094484"
"Netherlands","2013","193836.884354214"
"Netherlands","2012","193534.513722794"
"Netherlands","2011","197783.739657385"
"Netherlands","2010","212133.355392697"
"Netherlands","2009","200151.893403135"
"Netherlands","2008","205739.248138559"
"Netherlands","2007","206331.928341224"
"Netherlands","2006","207936.498772936"
"Netherlands","2005","212991.331911233"
"Netherlands","2004","218708.592097846"
"Netherlands","2003","217191.384410017"
"Netherlands","2002","216556.063627112"
"Netherlands","2001","218752.63128109"
"Netherlands","2000","218109.322671585"
"Netherlands","1999","219889.615609743"
"Netherlands","1998","233379.21525496"
"Netherlands","1997","232977.482710937"
"Netherlands","1996","241050.547474585"
"Netherlands","1995","230291.28557201"
"Netherlands","1994","230286.228161835"
"Netherlands","1993","229464.587131249"
"Netherlands","1992","228751.528363992"
"Netherlands","1991","228149.851249727"
"Netherlands","1990","220521.293504875"
"Portugal","2019","63626.3098340329"
"Portugal","2018","67267.4829013313"
"Portugal","2017","70982.5906077582"
"Portugal","2016","65898.3344047049"
"Portugal","2015","67753.7560954397"
"Portugal","2014","63598.6255154951"
"Portugal","2013","63710.5326945311"
"Portugal","2012","65592.8564055031"
"Portugal","2011","67499.2626609235"
"Portugal","2010","68926.7406638826"
"Portugal","2009","73180.7179977534"
"Portugal","2008","76384.3370072498"
"Portugal","2007","78808.1570235648"
"Portugal","2006","81083.5540234757"
"Portugal","2005","85915.4299293595"
"Portugal","2004","83781.16209281"
"Portugal","2003","80645.5553577056"
"Portugal","2002","85916.923731563"
"Portugal","2001","81399.0375787558"
"Portugal","2000","81856.681076338"
"Portugal","1999","82600.4920287638"
"Portugal","1998","74532.7301964058"
"Portugal","1997","69680.955163477"
"Portugal","1996","66471.9854784639"
"Portugal","1995","68778.7198481366"
"Portugal","1994","64073.5076981747"
"Portugal","1993","63118.7314955384"
"Portugal","1992","64628.5321242125"
"Portugal","1991","60774.2309879039"
"Portugal","1990","58871.8157760709"
"Slovakia","2019","39993.6337766834"
"Slovakia","2018","42212.2413742875"
"Slovakia","2017","42274.183729764"
"Slovakia","2016","41164.6409580112"
"Slovakia","2015","40768.804976165"
"Slovakia","2014","39912.5309428874"
"Slovakia","2013","41908.9774125622"
"Slovakia","2012","42355.7050973508"
"Slovakia","2011","44613.080884597"
"Slovakia","2010","45413.130118789"
"Slovakia","2009","44765.0148132285"
"Slovakia","2008","48961.2127894675"
"Slovakia","2007","48534.9033373882"
"Slovakia","2006","50339.0994710854"
"Slovakia","2005","50424.1228277849"
"Slovakia","2004","50485.1518838811"
"Slovakia","2003","49748.7981997566"
"Slovakia","2002","49598.4611145419"
"Slovakia","2001","50990.9111319019"
"Slovakia","2000","48735.354824613"
"Slovakia","1999","50638.2195803683"
"Slovakia","1998","52027.4771156291"
"Slovakia","1997","52714.8272952994"
"Slovakia","1996","52804.0858716286"
"Slovakia","1995","52971.0278126653"
"Slovakia","1994","52406.197617105"
"Slovakia","1993","54880.2900538766"
"Slovakia","1992","58298.2178583452"
"Slovakia","1991","64013.1309955029"
"Slovakia","1990","73473.934206374"
"Switzerland","2019","46229.8708248342"
"Switzerland","2018","46491.5248061315"
"Switzerland","2017","47990.574051938"
"Switzerland","2016","48830.6522567742"
"Switzerland","2015","48541.7275009301"
"Switzerland","2014","49005.5498390221"
"Switzerland","2013","52965.0773192897"
"Switzerland","2012","52084.4588041346"
"Switzerland","2011","50747.195704328"
"Switzerland","2010","54864.3944366564"
"Switzerland","2009","53228.2462262425"
"Switzerland","2008","54687.717223163"
"Switzerland","2007","53272.6736274498"
"Switzerland","2006","55190.6711428119"
"Switzerland","2005","55503.2362642186"
"Switzerland","2004","54848.8895549081"
"Switzerland","2003","54254.0772889248"
"Switzerland","2002","53172.9696650853"
"Switzerland","2001","54679.8076741535"
"Switzerland","2000","53146.1826820792"
"Switzerland","1999","53862.7497370932"
"Switzerland","1998","54028.8088958778"
"Switzerland","1997","52485.1405463697"
"Switzerland","1996","53662.8295590083"
"Switzerland","1995","52984.7161117926"
"Switzerland","1994","52075.3901682033"
"Switzerland","1993","53094.8481798891"
"Switzerland","1992","55674.5002113401"
"Switzerland","1991","55934.0334812031"
"Switzerland","1990","54042.6469346919"

